
num2    type1   type2   ukn7        vert
0x1     0x1015  0x2     0x2d881005  9
0x1     0x1015  0x2     0x2d881105  9
0x1     0x1015  0x2     0x2d881205  9
0x1     0x1005  0x2     0x5         6
0x2     0x1005  0x1     0x1005      8
0x2     0x1005  0x1     0x201005    8
0x2     0x1505  0x1     0x1005      14


 num2:0x3 t1:0x1005 t2:0 ukn7:0 vp 3


 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x5 vp 6
 num2:0x2 t1:0x1005 t2:0x1 ukn7:0x405 vp 6
 num2:0x2 t1:0x1005 t2:0x1001 ukn7:0x5 vp 6



 num2:0x1 t1:0x1005 t2:0x102 ukn7:0x201005 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x1005 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x1105 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x1405 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x20001005 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x25415 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x5015 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x5405 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x5415 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x801005 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x801405 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x1005 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x10205415 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x2cc01605 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x2d881605 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x4c01205 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x5801205 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x8001005 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x85015 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0x87015 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0xcc01605 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0xd001205 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0xd801205 vp 8
 num2:0x1 t1:0x1005 t2:0x2 ukn7:0xd881005 vp 8


 num2:0x2 t1:0x1005 t2:0x1 ukn7:0x1005 vp 8
 num2:0x2 t1:0x1005 t2:0x1 ukn7:0x1105 vp 8
 num2:0x2 t1:0x1005 t2:0x1 ukn7:0x1405 vp 8
 num2:0x2 t1:0x1005 t2:0x1 ukn7:0x201005 vp 8
 num2:0x2 t1:0x1005 t2:0x1 ukn7:0x8001005 vp 8
 num2:0x2 t1:0x1005 t2:0x1 ukn7:0x801005 vp 8
 num2:0x2 t1:0x1005 t2:0x1 ukn7:0x1005 vp 8
 num2:0x2 t1:0x1005 t2:0x1 ukn7:0x10201005 vp 8
 num2:0x2 t1:0x1005 t2:0x1 ukn7:0x10201405 vp 8
